번호,설치장소명,설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치연월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,WGS84위도,WGS84경도,데이터기준일자
636,버스정류장12,안양시외버스정류장(상향),경기도,안양시,교통시설,경기도 안양시,G_PublicWIFI@anyang,2019-07,경기도 안양시 만안구 안양로 340,경기도 안양시 만안구 안양동 689-147,경기도 안양시,031-8045-2320,37.401968,126.918927,2020-08-11
637,버스정류장13,명학역,경기도,안양시,교통시설,경기도 안양시,G_PublicWIFI@anyang,2019-07,경기도 안양시 만안구 만안로 29,경기도 안양시 만안구 안양동 533-16,경기도 안양시,031-8045-2320,37.385694,126.934625,2020-08-11
638,평촌학원가1,버스정류장 앞,경기도,안양시,교통시설,경기도 안양시,G_PublicWIFI@anyang,2019-07,경기도 안양시 동안구 평촌대로 130,경기도 안양시 동안구 평촌동 900-9,경기도 안양시,031-8045-2320,37.383852,126.960663,2020-08-11
639,평촌학원가2,gs25앞,경기도,안양시,교통시설,경기도 안양시,G_PublicWIFI@anyang,2019-07,경기도 안양시 동안구 평촌대로 121,경기도 안양시 동안구 호계동 1065-3,경기도 안양시,031-8045-2320,37.382518,126.960377,2020-08-11
640,안양시 만안구청,민원실과 강당과 상황실과 복도,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2012-12,경기도 안양시 만안구 안양로 128,경기도 안양시 만안구 안양동 530,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.386649,126.932418,2020-08-11
641,안양1동 주민센터,민원실과 남자공부방과 여자공부방,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 장내로 170,경기도 안양시 만안구 안양동 1383,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3991342,126.9259399,2020-08-11
642,안양2동 주민센터,민원실과 공부방과 교육장,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 안양로384번길 50,경기도 안양시 만안구 안양동 842-2,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4050575,126.9177838,2020-08-11
643,안양3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 양화로 28,경기도 안양시 만안구 안양동 1195-33,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3962722,126.9147397,2020-08-11
644,안양4동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 냉천로193번길 34,경기도 안양시 만안구 안양동 711-399,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3966496,126.9183622,2020-08-11
645,안양5동 주민센터,민원실과 공부방,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 냉천로157번길 18,경기도 안양시 만안구 안양동 707-103,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.394341,126.9208401,2020-08-11
646,안양6동 주민센터,민원실과 공부방과 작은도서관,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 안양로170번길 23,경기도 안양시 만안구 안양동 437-4,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3900331,126.9305787,2020-08-11
647,안양7동 주민센터,민원실과 3F 작은도서관,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 덕천로 115,경기도 안양시 만안구 안양동 193-28,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3914695,126.938078,2020-08-11
648,안양8동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 안양로 119 (계양빌딩 2층),경기도 안양시 만안구 안양동 548-1,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3842242,126.9321062,2020-08-11
649,안양9동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 병목안로142번길 12-9,경기도 안양시 만안구 안양동 995-27,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3914885,126.908489,2020-08-11
650,석수1동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 경수대로 1252,경기도 안양시 만안구 석수동 806,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4196164,126.9106328,2020-08-11
651,석수2동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 안양로 496,경기도 안양시 만안구 석수동 279-1,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4138705,126.9093609,2020-08-11
652,석수3동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 충훈로90번길 36,경기도 안양시 만안구 석수동 617,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.409173,126.899583,2020-08-11
653,박달1동 주민센터,민원실과 작은도서관,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 양화로127번길 9,경기도 안양시 만안구 박달동 50-2,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4036672,126.9091292,2020-08-11
654,박달2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,PublicWiFi@anyang,2013-06,경기도 안양시 만안구 박달로 440,경기도 안양시 만안구 박달동 124-7,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4017761,126.9014289,2020-08-11
655,부천시청,건물 내부,경기도,부천시,관공서,LGU+,Public WiFi Free,2013-12,경기도 부천시 길주로 210,,경기도 부천시,032-625-2401,37.503584,126.765357,2020-08-21
656,역곡남부시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 부광로8번길 35,,경기도 부천시,032-625-2401,37.483058,126.811058,2020-08-21
657,조공시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 경인옛로 116,,경기도 부천시,032-625-2401,37.480627,126.804468,2020-08-21
658,부천한신시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 은성로76번길 10,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
659,소사종합시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,,경기도 부천시 소사본동 289,경기도 부천시,032-625-2401,37.479887,126.793481,2020-08-21
660,부천자유시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 자유로 1,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
661,청과물시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 경인로206번길 43,,경기도 부천시,032-625-2401,37.481577,126.777987,2020-08-21
662,고강시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 고리울로52번길 23,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
663,신흥시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 중동로408번길 18,,경기도 부천시,032-625-2401,37.516185,126.7710212,2020-08-21
664,오정시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 상오정로 21,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
665,원종중앙시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 성오로124번길 47,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
666,부천제일시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 고강로40번길 55,,경기도 부천시,032-625-2401,37.527927,126.808966,2020-08-21
667,원종시장,건물 내부,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 삼작로 400,경기도 부천시 원종동 367 (건물형),경기도 부천시,032-625-2401,37.519618,126.806112,2020-08-21
668,원종종합시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 소사로700번길 17,,경기도 부천시,032-625-2401,37.518624,126.805856,2020-08-21
669,강남시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 옥산로 156,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
670,강남종합시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 옥산로 156,,경기도 부천시,032-625-2401,37.499959,126.791225,2020-08-21
671,부천상동시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 장말로 200,,경기도 부천시,032-625-2401,37.492739,126.7641456,2020-08-21
672,역곡북부시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 부일로 747,,경기도 부천시,032-625-2401,37.486435,126.812726,2020-08-21
673,원미부흥시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 조종로 48,,경기도 부천시,032-625-2401,37.491556,126.789822,2020-08-21
674,원미종합시장,시장 내,경기도,부천시,기타,SKT,Public WiFi Free,2014-12,경기도 부천시 원미로143번길 9,,경기도 부천시,032-625-2401,37.495322,126.791036,2020-08-21
675,해솔마을11단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 목동동 641-1 버스정류장(30969),경기도 파주시,031-940-4301,37.73209763,126.7505498,2020-12-17
676,운정광역보건지소(중),버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 목동동 645 버스정류장(31670),경기도 파주시,031-940-4301,37.72954989,126.7473482,2020-12-17
677,해솔마을4단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 목동동 675 버스정류장(30148),경기도 파주시,031-940-4301,37.72630162,126.7511576,2020-12-17
678,운정고등학교_산내11단지 방면,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 목동동 1050 버스정류장(31697),경기도 파주시,031-940-4301,37.72283818,126.7381144,2020-12-17
679,해솔마을2.5단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 목동동 676 버스정류장(31667),경기도 파주시,031-940-4301,37.72416213,126.74652,2020-12-17
680,한빛마을4.8단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 야당동 1033 버스정류장(31624),경기도 파주시,031-940-4301,37.70954691,126.7557935,2020-12-17
681,한빛마을1.2단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 야당동 987 버스정류장(50037),경기도 파주시,031-940-4301,37.7164355,126.7502909,2020-12-17
682,보건소,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 금촌동 962-29 버스정류장(30259),경기도 파주시,031-940-4301,37.75618891,126.773602,2020-12-17
683,노인복지회관.파주병원,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 금릉동 453-1 버스정류장(30317),경기도 파주시,031-940-4301,37.75420158,126.7809315,2020-12-17
684,한울마을2단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 1902 버스정류장(30111),경기도 파주시,031-940-4301,37.71155121,126.7400409,2020-12-17
685,한울마을2.3단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 1886 버스정류장(30112),경기도 파주시,031-940-4301,37.71257243,126.7403298,2020-12-17
686,한울마을2단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 1903 버스정류장(50001),경기도 파주시,031-940-4301,37.71161056,126.7354806,2020-12-17
687,한빛마을5단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 야당동 995-1 버스정류장(30963),경기도 파주시,031-940-4301,37.71690824,126.7558066,2020-12-17
688,한빛마을5단지_한빛1.2단지방면,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 와동동 1403 버스정류장(50047),경기도 파주시,031-940-4301,37.71703996,126.7537742,2020-12-17
689,동패중.고등학교,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 1974 동패중.고등학교 버스정류장(30991),경기도 파주시,031-940-4301,37.70969641,126.7351048,2020-12-17
690,동패중.고등학교,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 1974 동패중.고등학교 버스정류장(30995),경기도 파주시,031-940-4301,37.70969641,126.7351048,2020-12-17
691,금릉역,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 금촌동 980-3 버스정류장(31681),경기도 파주시,031-940-4301,37.75161906,126.7656546,2020-12-17
692,금릉역(건너편),버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 금촌동 978-13 버스정류장(31682),경기도 파주시,031-940-4301,37.75230394,126.7656659,2020-12-17
693,숲속길마을3.6단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 1693 숲속길마을3.6단지버스정류장(30673),경기도 파주시,031-940-4301,37.72369814,126.7167632,2020-12-17
694,KT파주지사.보훈회관,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 금촌동 772-6 버스정류장(30278),경기도 파주시,031-940-4301,37.75876645,126.7762718,2020-12-17
695,그린씨티동문아파트_대원3리방면,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 조리읍 대원리 198-4 그린씨티동문아파트 버스정류장(30463),경기도 파주시,031-940-4301,37.72809196,126.8155725,2020-12-17
696,그린씨티동문아파트,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 조리읍 대원리 198-4 그린씨티동문아파트 버스정류장(30462),경기도 파주시,031-940-4301,37.72809196,126.8155725,2020-12-17
697,숲속길마을3.6단지,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 문발동 621-2 숲속길마을3.6단지 버스정류장(30469),경기도 파주시,031-940-4301,37.72265413,126.7127317,2020-12-17
698,롯데프리미엄아울렛,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 문발동 649 롯데프리미엄아울렛 버스정류장(30219),경기도 파주시,031-940-4301,37.72304693,126.691105,2020-12-17
699,롯데프리미엄아울렛,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 문발동 649 롯데프리미엄아울렛 버스정류장(30811),경기도 파주시,031-940-4301,37.72304693,126.691105,2020-12-17
700,문발동,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 문발동 71-4 버스정류장(30041),경기도 파주시,031-940-4301,37.72655268,126.7042474,2020-12-17
701,갈현농협.파주성모병원,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 탄현면 갈현리 288-11 버스정류장(31081),경기도 파주시,031-940-4301,37.77293446,126.7206355,2020-12-17
702,한소망교회,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 야당동 474-15 한소망교회 버스정류장(30821),경기도 파주시,031-940-4301,37.70448961,126.7589625,2020-12-17
703,송학동,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 야당동 908-1 버스정류장(30642),경기도 파주시,031-940-4301,37.7047663,126.7595703,2020-12-17
704,삽다리사거리,버스정류소,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-06,,경기도 파주시 동패동 304 버스정류장(30090),경기도 파주시,031-940-4301,37.70561673,126.7319194,2020-12-17
705,책향기마을14단지,버스정류장,경기도,파주시,교통시설,경기도 파주시,Paju_Free-WiFi,2020-04,,경기도 파주시 동패동 1711-1,경기도 파주시,031-940-4301,37.71992092,126.7190628,2020-12-17
706,평촌동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 흥안대로456번길 21,경기도 안양시 동안구 평촌동 75-16,경기도 안양시,031-8045-4560,37.394747,126.977032,2020-08-11
707,평안동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 관평로138번길 39,경기도 안양시 동안구 평안동 896-4,경기도 안양시,031-8045-4560,37.390443,126.964254,2020-08-11
708,귀인동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 부림로 16,경기도 안양시 동안구 평촌동 933-4,경기도 안양시,031-8045-4560,37.385533,126.969527,2020-08-11
709,호계1동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 경수대로 538,경기도 안양시 동안구 호계1동 1003-7,경기도 안양시,031-8045-4560,37.370777,126.9582707,2020-08-11
710,호계2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 경수대로665번길 11,경기도 안양시 동안구 호계2동 933-18,경기도 안양시,031-8045-4560,37.381417,126.952619,2020-08-11
711,호계3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 경수대로 504,경기도 안양시 동안구 호계동 764-5,경기도 안양시,031-8045-4560,37.367516,126.958694,2020-08-11
712,범계동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 평촌대로217번길 63,경기도 안양시 동안구 호계동 1051-1,경기도 안양시,031-8045-4560,37.390023,126.952494,2020-08-11
713,신촌동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 동안로 28-1,경기도 안양시 동안구 신촌동 1056-3,경기도 안양시,031-8045-4560,37.381842,126.956326,2020-08-11
714,갈산동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 흥안대로223번길 30,경기도 안양시 동안구 갈산동 1118,경기도 안양시,031-8045-4560,37.3761512,126.9661335,2020-08-11
715,비산1동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 비산로 12,경기도 안양시 동안구 비산1동 475-1,경기도 안양시,031-8045-4560,37.400032,126.933374,2020-08-11
716,비산2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 경수대로868번길 39,경기도 안양시 동안구 비산2동 418-13,경기도 안양시,031-8045-4560,37.3970525,126.9413959,2020-08-11
717,비산3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 매곡로 1,경기도 안양시 동안구 비산3동 318-79,경기도 안양시,031-8045-4560,37.403895,126.945498,2020-08-11
718,부흥동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 달안로 28,경기도 안양시 동안구 부흥동 1103-1,경기도 안양시,031-8045-4560,37.3936373,126.947198,2020-08-11
719,달안동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 달안로 65,경기도 안양시 동안구 달안동 1101-5,경기도 안양시,031-8045-4560,37.3960762,126.9501738,2020-08-11
720,관양1동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 관악대로 375,경기도 안양시 동안구 관양1동 1432-15,경기도 안양시,031-8045-4560,37.402394,126.971081,2020-08-11
721,관양2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 관양로 215,경기도 안양시 동안구 관양2동 1482-3,경기도 안양시,031-8045-4560,37.402326,126.971064,2020-08-11
722,부림동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,Dongan,2014-07,경기도 안양시 동안구 달안로 154,경기도 안양시 동안구 부림동 1588-1,경기도 안양시,031-8045-4560,37.398827,126.959564,2020-08-11
723,안양예술공원 전망대,전망대,경기도,안양시,관광,경기도 안양시,PublicWiFi@anyang,2020-01,경기도 안양시 만안구 석수2동 산24-24,,경기도 안양시,031-8045-2301,37.421192,126.925982,2020-08-11
724,박석교,박석교 하부,경기도,안양시,기타,경기도 안양시,PublicWiFi@anyang,2020-06,경기도 안양시 만안구 박달동 10-1,,경기도 안양시,031-8045-2301,37.407791,126.909060,2020-08-11
725,안양시 만안구청,민원실과 강당과 상황실과 복도,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 안양로 128,경기도 안양시 만안구 안양동 530,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3865526,126.9324699,2020-08-11
726,안양1동 주민센터,민원실과 남자공부방과 여자공부방,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 장내로 170,경기도 안양시 만안구 안양동 1383,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3991342,126.9259399,2020-08-11
727,안양2동 주민센터,민원실과 공부방과 교육장,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 안양로384번길 50,경기도 안양시 만안구 안양동 842-2,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4050575,126.9177838,2020-08-11
728,안양3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 양화로 28,경기도 안양시 만안구 안양동 1195-33,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3962722,126.9147397,2020-08-11
729,안양4동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 냉천로193번길 34,경기도 안양시 만안구 안양동 711-399,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3966496,126.9183622,2020-08-11
730,안양5동 주민센터,민원실과 공부방,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 냉천로157번길 18,경기도 안양시 만안구 안양동 707-103,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3942551,126.9208401,2020-08-11
731,안양6동 주민센터,민원실과 공부방과 작은도서관,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 안양로170번길 23,경기도 안양시 만안구 안양동 437-4,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3900331,126.9305787,2020-08-11
732,안양7동 주민센터,민원실과 3F 작은도서관,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 덕천로 115,경기도 안양시 만안구 안양동 139-28,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3914695,126.938078,2020-08-11
733,안양8동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,"경기도 안양시 만안구 안양로 119 계양빌딩, 2층",경기도 안양시 만안구 안양동 548-1,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3842242,126.9321062,2020-08-11
734,안양9동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 병목안로142번길 12-9,경기도 안양시 만안구 안양동 995-27,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.3914885,126.908489,2020-08-11
735,석수1동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 경수대로 1252,경기도 안양시 만안구 석수동 806,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4196164,126.9106328,2020-08-11
736,석수2동 주민센터,민원실과 교육장,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 안양로 496,경기도 안양시 만안구 석수동 279-1,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4138705,126.9093609,2020-08-11
737,석수3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 석수동 석수로212번길 23,경기도 안양시 만안구 석수동 600-3,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4091519,126.8951707,2020-08-11
738,박달1동 주민센터,민원실과 작은도서관,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 박달1동 양화로127번길 9,경기도 안양시 만안구 박달동 50-2,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4036672,126.9091292,2020-08-11
739,박달2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2018-06,경기도 안양시 만안구 박달로 440,경기도 안양시 만안구 박달동 124-7,경기도 안양시 만안구청(행정지원과),031-8045-3200,37.4017761,126.9014289,2020-08-11
740,평촌동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 흥안대로456번길 21,경기도 안양시 동안구 평촌동 75-16,경기도 안양시,031-8045-4560,37.3946897,126.9771021,2020-08-11
741,평안동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 관평로138번길 39,경기도 안양시 동안구 평안동 896-4,경기도 안양시,031-8045-4560,37.390358,126.9642571,2020-08-11
742,귀인동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 부림로 16,경기도 안양시 동안구 평촌동 933-4,경기도 안양시,031-8045-4560,37.3855228,126.969476,2020-08-11
743,호계1동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 경수대로 538,경기도 안양시 동안구 호계1동 1003-7,경기도 안양시,031-8045-4560,37.3709119,126.9582828,2020-08-11
744,호계2동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 경수대로665번길 11,경기도 안양시 동안구 호계2동 933-18,경기도 안양시,031-8045-4560,37.3812212,126.9526903,2020-08-11
745,호계3동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-12,경기도 안양시 동안구 경수대로 504,경기도 안양시 동안구 호계동 764-5,경기도 안양시,031-8045-4560,37.3676504,126.958691,2020-08-11
746,범계동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-12,경기도 안양시 동안구 평촌대로217번길 63,경기도 안양시 동안구 호계동 1051-1,경기도 안양시,031-8045-4560,37.3897952,126.9525313,2020-08-11
747,신촌동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 동안로 28-1,경기도 안양시 동안구 신촌동 1056-3,경기도 안양시,031-8045-4560,37.3819073,126.9563211,2020-08-11
748,갈산동 주민센터,민원실,경기도,안양시,관공서,경기도 안양시,G_PublicWIFI@anyang,2014-07,경기도 안양시 동안구 흥안대로223번길 30,경기도 안양시 동안구 갈산동 1118,경기도 안양시,031-8045-4560,37.3761512,126.9661335,2020-08-11
